0,1,2,3,4,5,6,7,8
,LAW,,,OFFENCE,,,BALL VALID,
,,,,,,,,
24.4,,,Returning without permission*,,,NO,,
21.3,,,,Throwing/Bowling underarm,,,No ball called,
,,,,,,,,
26.4,,,Illegal practice,,,Not applicable,,
28.2,,,,legal fielding,,,,
,,,,,,,NO,
,,,,,,,,
41.3,,,Ball tampering,,,Not applicable,,
41.4,,,,Distracting striker,,,NO,
,,,,,,,,
41.5,,,Distraction obstruction or deception of batsman,,,NO,,
41.9,,,,Time wasting,,,Not applicable,
,,,,,,,,
41.12,,,Pitch damage,,,Yes. See note above,,
