0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,1,,,5:30,,,,,,One hour remains,,,,,,,
,,,,,,,,,,,,,,,,,
2,,,5:32,,,,,,Last hour starts,,,,,,Minimum of 20 hours remain,,
,3,,,5:39,,,22,,,overs have been bowled,,,,,,Minimum of 17.4 overs remain,
,,,,,,,,,,,,,,,,,
4,,,,,,,,,Interruption of 5 minutes,,,"Lose 1
over",,,,,
,5,,,5:44,,,,,,Play resumes,,,,,,Minimum of 16.4 Overs,
,,,,,,,,,,,,,,,,remain,
,,,,,,,,,,,,,,,,,
,,,,,,0.4,,,"over bowled to complete
unfinished over",,,,,,Minimum of 16 Overs remain,,
