0,1,2,3,4,5
,The not out batsman will,,,,
,Return to/stay at original end,,,Go on it crossed Go back it not,
Bowled,,,,,
,,,,Caught,
Hit the ball twice,,,,,
,Hit wicket,,,,
LBW,,,,,
,,,,Obstructing the field,
,,,,,
,,,Run out (except next case),,
,Striker who has a runner himself/herself run,,,,
,out,,,,
,,,,,
Stumped,,,,,
,Timed out,,,,
"If runs are to be disallowed the not out
batsman always returns to his/her original end",,,,,
